ID,Species,CreavesSpecies,Class,Order,Family,NativeStatus,AgwGroup,SubsideGroup,Game,Huntable
SP341,Phalacrocorax carbo,Grand Cormoran,Aves,Suliformes,Phalacrocoracidés,NS1,Autre oiseau d'eau,SG1,0,0
SP342,Phalaropus fulicarius,Phalarope à bec large,Aves,Charadriiformes,Scolopacidés,NS1,Limicole,SG1,0,0
SP343,Phalaropus lobatus,Phalarope à bec étroit,Aves,Charadriiformes,Scolopacidés,NS1,Limicole,SG1,0,0
SP344,Phasianus colchicus,Faisan de Colchide,Aves,Galliformes,Phasianidés,NS1,Autre oiseau,SG2,1,1
SP345,Philomachus pugnax,Combattant varié,Aves,Charadriiformes,Scolopacidés,NS1,Limicole,SG1,0,0
SP346,Phoenicurus ochruros,Rougequeue noir,Aves,Passériformes,Muscicapidés,NS1,Autre oiseau,SG2,0,0
SP347,Phoenicurus phoenicurus,Rougequeue à front blanc,Aves,Passériformes,Muscicapidés,NS1,Autre oiseau,SG2,0,0
SP348,Phylloscopus bonelli,Pouillot de Bonelli,Aves,Passériformes,Phylloscopidés,NS1,Autre oiseau,SG2,0,0
SP349,Phylloscopus collybita,Pouillot véloce,Aves,Passériformes,Phylloscopidés,NS1,Autre oiseau,SG2,0,0
SP35,Anthus campestris,Pipit rousseline,Aves,Passériformes,Motacillidés,NS1,Autre oiseau,SG2,0,0
SP350,Phylloscopus inornatus,Pouillot à grands sourcils,Aves,Passériformes,Phylloscopidés,NS1,Autre oiseau,SG2,0,0
SP351,Phylloscopus proregulus,Pouillot de Pallas,Aves,Passériformes,Phylloscopidés,NS1,Autre oiseau,SG2,0,0
SP352,Phylloscopus schwarzi,Pouillot de Schwarz,Aves,Passériformes,Phylloscopidés,NS1,Autre oiseau,SG2,0,0
SP353,Phylloscopus sibilatrix,Pouillot siffleur,Aves,Passériformes,Phylloscopidés,NS1,Autre oiseau,SG2,0,0
SP354,Phylloscopus trochilus,Pouillot fitis,Aves,Passériformes,Phylloscopidés,NS1,Autre oiseau,SG2,0,0
SP355,Pica pica,Pie bavarde,Aves,Passériformes,Corvidés,NS1,Corvidé,SG2,0,0
SP356,Picus canus,Pic cendré,Aves,Piciformes,Picidés,NS1,Autre oiseau,SG2,0,0
SP357,Picus viridis,Pic vert,Aves,Piciformes,Picidés,NS1,Autre oiseau,SG2,0,0
SP358,Pipistrellus kuhlii,Pipistrelle,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP359,Pipistrellus nathusii,Pipistrelle,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP36,Anthus cervinus,Pipit à gorge rousse,Aves,Passériformes,Motacillidés,NS1,Autre oiseau,SG2,0,0
SP360,Pipistrellus pipistrellus,Pipistrelle,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
SP361,Pipistrellus pygmaeus,Pipistrelle,Mammalia,Chiroptera,Verspertilionidés,NS1,Chauve-souris,SG2,0,0
