ID,Country,Region,Province,Municipality,SubMunicipality,PostalCode,Locality,Zoning,Direction
L208,Belgique,Flandre,BRABANT FLAMAND,MERCHTEM,0,1785,Merchtem,Localité non DNF,Localité non DNF
L209,Belgique,Flandre,BRABANT FLAMAND,AFFLIGEM,0,1790,Affligem,Localité non DNF,Localité non DNF
L210,Belgique,Flandre,BRABANT FLAMAND,AFFLIGEM,1,1790,Essene,Localité non DNF,Localité non DNF
L211,Belgique,Flandre,BRABANT FLAMAND,AFFLIGEM,1,1790,Hekelgem,Localité non DNF,Localité non DNF
L212,Belgique,Flandre,BRABANT FLAMAND,AFFLIGEM,1,1790,Teralfene,Localité non DNF,Localité non DNF
L213,Belgique,Flandre,BRABANT FLAMAND,VILVOORDE,1,1800,Peutie,Localité non DNF,Localité non DNF
L214,Belgique,Flandre,BRABANT FLAMAND,VILVOORDE,0,1800,Vilvoorde,Localité non DNF,Localité non DNF
L215,Belgique,Flandre,BRABANT FLAMAND,STEENOKKERZEEL,1,1820,Melsbroek,Localité non DNF,Localité non DNF
L216,Belgique,Flandre,BRABANT FLAMAND,STEENOKKERZEEL,1,1820,Perk,Localité non DNF,Localité non DNF
L217,Belgique,Flandre,BRABANT FLAMAND,STEENOKKERZEEL,0,1820,Steenokkerzeel,Localité non DNF,Localité non DNF
L218,Belgique,Flandre,BRABANT FLAMAND,MACHELEN,0,1830,Machelen,Localité non DNF,Localité non DNF
L219,Belgique,Flandre,BRABANT FLAMAND,MACHELEN,1,1831,Diegem,Localité non DNF,Localité non DNF
L220,Belgique,Flandre,BRABANT FLAMAND,LONDERZEEL,0,1840,Londerzeel,Localité non DNF,Localité non DNF
L221,Belgique,Flandre,BRABANT FLAMAND,LONDERZEEL,1,1840,Malderen,Localité non DNF,Localité non DNF
L222,Belgique,Flandre,BRABANT FLAMAND,LONDERZEEL,1,1840,Steenhuffel,Localité non DNF,Localité non DNF
L223,Belgique,Flandre,BRABANT FLAMAND,GRIMBERGEN,0,1850,Grimbergen,Localité non DNF,Localité non DNF
L224,Belgique,Flandre,BRABANT FLAMAND,GRIMBERGEN,1,1851,Humbeek,Localité non DNF,Localité non DNF
L225,Belgique,Flandre,BRABANT FLAMAND,GRIMBERGEN,1,1852,Beigem,Localité non DNF,Localité non DNF
L226,Belgique,Flandre,BRABANT FLAMAND,GRIMBERGEN,1,1853,Strombeek-Bever,Localité non DNF,Localité non DNF
L227,Belgique,Flandre,BRABANT FLAMAND,MEISE,0,1860,Meise,Localité non DNF,Localité non DNF
L228,Belgique,Flandre,BRABANT FLAMAND,MEISE,1,1861,Wolvertem,Localité non DNF,Localité non DNF
L229,Belgique,Flandre,BRABANT FLAMAND,KAPELLE-OP-DEN-BOS,0,1880,Kapelle-op-den-Bos,Localité non DNF,Localité non DNF
